epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.492984,0.647867,0.504700,0.018750,0.00053028,1,55.30
2,0.214707,0.744233,0.697200,0.193750,0.00148479,1,55.36
3,0.165268,0.751200,0.623000,0.053125,0.00243929,0,55.49
4,0.222393,0.729867,0.502900,0.009375,0.00339380,0,55.41
5,0.256664,0.728433,0.617500,0.200000,0.00434830,1,55.48
6,0.203548,0.750800,0.638800,0.071875,0.00432656,0,55.40
7,0.160056,0.781900,0.630700,0.093750,0.00430493,0,55.56
8,0.134431,0.807500,0.754200,0.240625,0.00428340,1,55.40
9,0.111940,0.831100,0.728400,0.296875,0.00426199,1,55.55
10,0.108224,0.839500,0.676900,0.281250,0.00424068,0,55.42
11,0.095678,0.853900,0.789600,0.306250,0.00421947,1,55.53
12,0.086827,0.867333,0.583300,0.053125,0.00419838,0,55.41
13,0.085442,0.871733,0.739700,0.325000,0.00417739,1,55.51
14,0.079103,0.878467,0.692300,0.256250,0.00415650,0,55.42
15,0.074188,0.885267,0.557400,0.090625,0.00413572,0,55.54
16,0.085212,0.874167,0.624600,0.281250,0.00411504,0,55.45
17,0.067039,0.897967,0.740900,0.331250,0.00409446,1,55.59
18,0.066470,0.902867,0.626700,0.190625,0.00407399,0,55.48
19,0.061122,0.909433,0.713700,0.396875,0.00405362,1,55.50
20,0.057934,0.915200,0.526400,0.159375,0.00403335,0,55.49
21,0.059159,0.912367,0.637300,0.309375,0.00401318,0,55.49
22,0.056531,0.916933,0.558600,0.231250,0.00399312,0,55.54
23,0.053656,0.921300,0.885200,0.440625,0.00397315,1,55.57
24,0.050141,0.927433,0.880400,0.531250,0.00395329,1,55.49
25,0.045813,0.933533,0.702800,0.375000,0.00393352,0,55.50
26,0.045767,0.934767,0.822600,0.418750,0.00391385,0,55.45
27,0.043836,0.936367,0.844100,0.471875,0.00389428,0,55.51
28,0.041822,0.944133,0.682800,0.384375,0.00387481,0,55.47
29,0.041032,0.941733,0.759200,0.537500,0.00385544,1,55.48
30,0.038662,0.946400,0.850000,0.478125,0.00383616,0,55.47
31,0.037868,0.947400,0.817100,0.490625,0.00381698,0,55.48
32,0.035161,0.951533,0.892000,0.581250,0.00379790,1,55.43
33,0.033680,0.955100,0.721900,0.462500,0.00377891,0,55.60
34,0.034192,0.955000,0.883900,0.543750,0.00376001,0,55.40
35,0.033758,0.953667,0.882800,0.643750,0.00374121,1,55.54
36,0.034134,0.952867,0.858800,0.506250,0.00372251,0,55.43
37,0.031091,0.959433,0.890300,0.631250,0.00370389,0,55.51
38,0.028961,0.961867,0.914600,0.596875,0.00368537,0,55.41
39,0.029469,0.961567,0.928100,0.653125,0.00366695,1,55.49
40,0.029505,0.960567,0.894600,0.565625,0.00364861,0,55.42
41,0.027590,0.963600,0.923800,0.634375,0.00363037,0,55.51
42,0.026549,0.965133,0.915400,0.603125,0.00361222,0,55.41
43,0.025851,0.966833,0.905300,0.600000,0.00359416,0,55.47
44,0.025736,0.965433,0.940600,0.634375,0.00357619,0,55.37
45,0.023546,0.969600,0.884200,0.665625,0.00355830,1,55.40
46,0.022616,0.971167,0.930700,0.646875,0.00354051,0,55.39
47,0.023223,0.971000,0.931300,0.603125,0.00352281,0,55.34
48,0.022110,0.972433,0.913500,0.600000,0.00350520,0,55.35
49,0.022182,0.971467,0.902200,0.671875,0.00348767,1,55.39
50,0.023413,0.970900,0.927800,0.687500,0.00347023,1,55.40
51,0.019528,0.975200,0.925400,0.665625,0.00345288,0,55.44
52,0.018930,0.976100,0.933900,0.621875,0.00343562,0,55.37
53,0.020442,0.973733,0.906400,0.681250,0.00341844,0,55.43
54,0.020065,0.975133,0.944800,0.665625,0.00340135,0,55.35
55,0.019619,0.975933,0.930200,0.637500,0.00338434,0,55.40
56,0.019670,0.975867,0.944300,0.700000,0.00336742,1,55.37
57,0.016697,0.979433,0.932500,0.709375,0.00335058,1,55.39
58,0.018774,0.976733,0.930500,0.662500,0.00333383,0,55.37
59,0.017223,0.978533,0.930700,0.684375,0.00331716,0,55.70
60,0.016874,0.979600,0.935600,0.693750,0.00330057,0,55.41
61,0.016678,0.980000,0.941300,0.731250,0.00328407,1,55.43
62,0.016627,0.979833,0.943100,0.696875,0.00326765,0,55.30
63,0.017028,0.979267,0.932300,0.712500,0.00325131,0,55.44
64,0.016194,0.980133,0.943900,0.737500,0.00323505,1,55.31
65,0.015760,0.981033,0.942000,0.690625,0.00321888,0,55.40
66,0.015250,0.981567,0.941300,0.684375,0.00320279,0,55.31
67,0.016031,0.981167,0.948800,0.718750,0.00318677,0,55.42
68,0.014922,0.983167,0.948500,0.737500,0.00317084,0,55.31
69,0.014882,0.982167,0.942900,0.621875,0.00315498,0,55.39
70,0.015243,0.981467,0.938000,0.681250,0.00313921,0,55.29
71,0.014170,0.984300,0.941900,0.721875,0.00312351,0,55.42
72,0.013473,0.985267,0.896700,0.646875,0.00310789,0,55.36
73,0.015396,0.981867,0.940300,0.756250,0.00309236,1,55.42
74,0.013316,0.984800,0.945300,0.709375,0.00307689,0,55.33
75,0.012635,0.985333,0.932600,0.690625,0.00306151,0,55.37
76,0.012954,0.985567,0.950000,0.696875,0.00304620,0,55.36
77,0.011380,0.987033,0.943500,0.684375,0.00303097,0,55.42
78,0.013277,0.985200,0.932700,0.759375,0.00301582,1,55.37
79,0.012216,0.985400,0.904900,0.728125,0.00300074,0,55.35
80,0.012132,0.986833,0.947700,0.728125,0.00298573,0,55.34
81,0.012707,0.985833,0.936800,0.756250,0.00297080,0,55.34
82,0.012126,0.985467,0.945200,0.746875,0.00295595,0,55.41
83,0.010549,0.988300,0.927100,0.740625,0.00294117,0,55.34
84,0.011254,0.987233,0.943500,0.690625,0.00292646,0,55.42
85,0.012157,0.986233,0.941100,0.718750,0.00291183,0,55.46
86,0.012367,0.985400,0.932000,0.756250,0.00289727,0,55.42
87,0.011748,0.987500,0.941300,0.706250,0.00288279,0,55.58
88,0.011578,0.987367,0.934100,0.734375,0.00286837,0,55.38
89,0.010026,0.988400,0.938700,0.721875,0.00285403,0,55.48
90,0.011099,0.987767,0.950600,0.681250,0.00283976,0,55.40
91,0.011083,0.987867,0.945900,0.728125,0.00282556,0,55.48
92,0.011265,0.987600,0.933700,0.709375,0.00281143,0,55.29
93,0.012855,0.985733,0.943800,0.731250,0.00279738,0,55.43
94,0.011030,0.987667,0.945600,0.737500,0.00278339,0,55.30
95,0.010330,0.988967,0.948300,0.715625,0.00276947,0,55.45
96,0.008851,0.991033,0.951700,0.756250,0.00275563,0,55.32
97,0.009936,0.988867,0.951200,0.731250,0.00274185,0,55.40
98,0.008986,0.989500,0.948200,0.675000,0.00272814,0,55.37
99,0.010477,0.988100,0.939700,0.728125,0.00271450,0,55.42
100,0.009760,0.989000,0.946200,0.712500,0.00270093,0,55.30
101,0.009433,0.990200,0.941100,0.687500,0.00268742,0,55.38
102,0.009502,0.989633,0.937700,0.718750,0.00267398,0,55.35
103,0.009475,0.989667,0.949500,0.706250,0.00266061,0,55.39
104,0.009936,0.989533,0.950600,0.712500,0.00264731,0,55.37
105,0.009784,0.988733,0.941800,0.731250,0.00263407,0,55.35
106,0.009798,0.988767,0.941100,0.731250,0.00262090,0,55.36
107,0.008938,0.990933,0.945100,0.759375,0.00260780,0,55.36
108,0.009127,0.990433,0.943700,0.696875,0.00259476,0,55.35
109,0.008640,0.990667,0.931100,0.721875,0.00258179,0,55.39
110,0.010400,0.988633,0.938900,0.709375,0.00256888,0,55.35
111,0.009058,0.990267,0.946900,0.700000,0.00255603,0,55.39
112,0.007887,0.991100,0.924000,0.743750,0.00254325,0,55.33
113,0.007777,0.992400,0.941300,0.734375,0.00253054,0,55.38
114,0.009413,0.989833,0.931900,0.715625,0.00251788,0,55.36
115,0.008526,0.990867,0.947700,0.731250,0.00250529,0,55.42
116,0.008821,0.990733,0.930300,0.737500,0.00249277,0,55.34
117,0.009239,0.990233,0.950000,0.706250,0.00248030,0,55.45
118,0.009005,0.990500,0.947300,0.746875,0.00246790,0,55.30
