epoch,train_loss,train_acc,val_acc,lr
1,7.126130,0.0037,0.0072,0.001000
2,6.109688,0.0180,0.0055,0.000995
3,5.559756,0.0338,0.0576,0.000990
4,5.202042,0.0509,0.0528,0.000985
5,4.929858,0.0598,0.0365,0.000980
6,4.740055,0.0763,0.0924,0.000975
7,4.572608,0.0886,0.1665,0.000970
8,4.436256,0.1019,0.2363,0.000966
9,4.313089,0.1121,0.0864,0.000961
10,4.195605,0.1176,0.2209,0.000956
11,4.085718,0.1313,0.0690,0.000951
12,3.951103,0.1420,0.2683,0.000946
13,3.856957,0.1552,0.2495,0.000942
14,3.759256,0.1651,0.3423,0.000937
15,3.646853,0.1792,0.3005,0.000932
16,3.553606,0.1918,0.3219,0.000928
17,3.498230,0.1945,0.3452,0.000923
18,3.392378,0.2131,0.3369,0.000918
19,3.272848,0.2316,0.3637,0.000914
20,3.167435,0.2460,0.2996,0.000909
21,3.049904,0.2670,0.4251,0.000905
22,2.957281,0.2768,0.4652,0.000900
23,2.805964,0.3080,0.5570,0.000896
24,2.719211,0.3188,0.5419,0.000891
25,2.596542,0.3409,0.5347,0.000887
26,2.496817,0.3661,0.5524,0.000882
27,2.391283,0.3814,0.4484,0.000878
28,2.313074,0.3912,0.4640,0.000873
29,2.197547,0.4243,0.5397,0.000869
30,2.082060,0.4449,0.6109,0.000865
31,1.982973,0.4638,0.5662,0.000860
32,1.897381,0.4844,0.6195,0.000856
33,1.816449,0.4964,0.6805,0.000852
34,1.755306,0.5138,0.6360,0.000848
35,1.670757,0.5347,0.7030,0.000843
36,1.573273,0.5529,0.5995,0.000839
37,1.496670,0.5737,0.6764,0.000835
38,1.462979,0.5830,0.6975,0.000831
39,1.406990,0.5972,0.6539,0.000827
40,1.345398,0.6118,0.7193,0.000822
41,1.286395,0.6214,0.7104,0.000818
42,1.228433,0.6382,0.6342,0.000814
43,1.175037,0.6486,0.7106,0.000810
44,1.142522,0.6634,0.7287,0.000806
45,1.085105,0.6764,0.7415,0.000802
46,1.043649,0.6867,0.7289,0.000798
47,1.037591,0.6881,0.7144,0.000794
48,1.003547,0.6988,0.7522,0.000790
49,0.960993,0.7092,0.7079,0.000786
50,0.933496,0.7165,0.7469,0.000782
51,0.892127,0.7288,0.7486,0.000778
52,0.874035,0.7346,0.7525,0.000774
53,0.838843,0.7441,0.7640,0.000771
54,0.813061,0.7472,0.7572,0.000767
55,0.794810,0.7560,0.7566,0.000763
56,0.782782,0.7565,0.7637,0.000759
57,0.723319,0.7768,0.7016,0.000755
58,0.718523,0.7776,0.7446,0.000751
59,0.694922,0.7822,0.7560,0.000748
60,0.679370,0.7873,0.7517,0.000744
61,0.664546,0.7935,0.7508,0.000740
62,0.637941,0.7982,0.7756,0.000737
63,0.615234,0.8051,0.7774,0.000733
64,0.590079,0.8149,0.7683,0.000729
65,0.571919,0.8207,0.7629,0.000726
66,0.565658,0.8198,0.7645,0.000722
67,0.550664,0.8249,0.7671,0.000718
68,0.537541,0.8308,0.7586,0.000715
69,0.520659,0.8373,0.7807,0.000711
70,0.501626,0.8400,0.7743,0.000708
71,0.492902,0.8446,0.7864,0.000704
72,0.473174,0.8530,0.7662,0.000701
73,0.453543,0.8515,0.7865,0.000697
74,0.440277,0.8611,0.7810,0.000694
75,0.440617,0.8634,0.7614,0.000690
76,0.433105,0.8628,0.7760,0.000687
77,0.427080,0.8627,0.7703,0.000683
78,0.423547,0.8654,0.7740,0.000680
79,0.408550,0.8690,0.7683,0.000676
80,0.401817,0.8733,0.7847,0.000673
81,0.391192,0.8756,0.7663,0.000670
82,0.392565,0.8736,0.7605,0.000666
83,0.388778,0.8783,0.7628,0.000663
84,0.354294,0.8892,0.7884,0.000660
85,0.366831,0.8878,0.7625,0.000656
86,0.346058,0.8937,0.7674,0.000653
87,0.348577,0.8878,0.7843,0.000650
88,0.338704,0.8926,0.7703,0.000647
89,0.341971,0.8927,0.7919,0.000643
90,0.325180,0.8972,0.7859,0.000640
91,0.326726,0.8989,0.7914,0.000637
92,0.300449,0.9065,0.7709,0.000634
93,0.315818,0.9000,0.7754,0.000631
94,0.302545,0.9056,0.7870,0.000627
95,0.296912,0.9084,0.7950,0.000624
96,0.282730,0.9130,0.7834,0.000621
97,0.290044,0.9069,0.7864,0.000618
98,0.290705,0.9094,0.7843,0.000615
99,0.284868,0.9130,0.7777,0.000612
100,0.270287,0.9171,0.7933,0.000609
101,0.332403,0.8996,0.7850,0.000606
102,0.332104,0.9004,0.7700,0.000603
103,0.331485,0.9017,0.7836,0.000600
104,0.312441,0.9030,0.7885,0.000597
105,0.298909,0.9085,0.7902,0.000594
106,0.289445,0.9133,0.7953,0.000591
107,0.287451,0.9128,0.7905,0.000588
108,0.283486,0.9114,0.7921,0.000585
109,0.268854,0.9183,0.7877,0.000582
110,0.253261,0.9245,0.7931,0.000579
111,0.265399,0.9183,0.7842,0.000576
112,0.248598,0.9238,0.7893,0.000573
113,0.240394,0.9271,0.7779,0.000570
114,0.252515,0.9224,0.7572,0.000568
115,0.231232,0.9312,0.7865,0.000565
116,0.225022,0.9306,0.7757,0.000562
117,0.225799,0.9330,0.7850,0.000559
118,0.216238,0.9348,0.7868,0.000556
119,0.207287,0.9367,0.7928,0.000554
120,0.207924,0.9375,0.7978,0.000551
121,0.205475,0.9382,0.7971,0.000548
122,0.199678,0.9416,0.7910,0.000545
123,0.205960,0.9374,0.7914,0.000543
124,0.202240,0.9407,0.7924,0.000540
125,0.193672,0.9424,0.7908,0.000537
126,0.187187,0.9448,0.7965,0.000534
127,0.187984,0.9441,0.7998,0.000532
128,0.179618,0.9473,0.7777,0.000529
129,0.183337,0.9443,0.7931,0.000526
130,0.182076,0.9458,0.7845,0.000524
131,0.173123,0.9489,0.7948,0.000521
132,0.165976,0.9509,0.7930,0.000519
133,0.178653,0.9479,0.7880,0.000516
134,0.177318,0.9484,0.7740,0.000513
135,0.169073,0.9511,0.7934,0.000511
136,0.163101,0.9520,0.7964,0.000508
137,0.156731,0.9557,0.7854,0.000506
138,0.162644,0.9530,0.7954,0.000503
139,0.162070,0.9527,0.7822,0.000501
140,0.161991,0.9519,0.7919,0.000498
141,0.152133,0.9569,0.8014,0.000496
142,0.166286,0.9524,0.7959,0.000493
143,0.151228,0.9562,0.7770,0.000491
144,0.149160,0.9574,0.7902,0.000488
145,0.149630,0.9570,0.7884,0.000486
146,0.142362,0.9603,0.7916,0.000483
147,0.138234,0.9609,0.7962,0.000481
148,0.136341,0.9609,0.7857,0.000479
149,0.140152,0.9608,0.7911,0.000476
150,0.125984,0.9644,0.7999,0.000474
151,0.138719,0.9610,0.7934,0.000471
152,0.136870,0.9625,0.7982,0.000469
153,0.141517,0.9601,0.7971,0.000467
154,0.124880,0.9650,0.7981,0.000464
155,0.130933,0.9654,0.7942,0.000462
156,0.132361,0.9634,0.7904,0.000460
157,0.128041,0.9650,0.7900,0.000458
158,0.125495,0.9645,0.7810,0.000455
159,0.116736,0.9675,0.7911,0.000453
160,0.115918,0.9686,0.7978,0.000451
161,0.119031,0.9679,0.7973,0.000448
